Date : 2022-08-01 10:22:10
Directory : /home/hsnt/Documents/Docker/RiDX/core
Total : 842 files,  67334 codes, 2993 comments, 5290 blanks, all 75617 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/Charts/TimelineChart/index.jsx                                                             | JavaScript React   |        127 |          2 |          8 |        137 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/Charts/WaterWave/index.jsx                                                                 | JavaScript React   |        207 |          4 |         35 |        246 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/Charts/autoHeight.jsx                                                                      | JavaScript React   |         62 |          0 |         14 |         76 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/Charts/index.jsx                                                                           | JavaScript React   |         10 |          0 |          3 |         13 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/Charts/index.less                                                                          | Less               |         19 |          0 |          1 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/Metric/index.jsx                                                                           | JavaScript React   |         53 |          0 |          1 |         54 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/Metric/index.less                                                                          | Less               |          4 |          0 |          0 |          4 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/NumberInfo/index.jsx                                                                       | JavaScript React   |         48 |          0 |          3 |         51 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/NumberInfo/index.less                                                                      | Less               |         67 |          0 |          2 |         69 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/PageLoading/index.jsx                                                                      | JavaScript React   |         11 |          1 |          2 |         14 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/Trend/index.jsx                                                                            | JavaScript React   |         25 |          0 |          3 |         28 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Dashboard/Trend/index.less                                                                           | Less               |         33 |          0 |          5 |         38 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Footer/index.jsx                                                                                     | JavaScript React   |          7 |          0 |          1 |          8 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/HeaderDropdown/index.jsx                                                                             | JavaScript React   |          8 |          0 |          3 |         11 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/HeaderDropdown/index.less                                                                            | Less               |         14 |          0 |          3 |         17 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/HeaderSearch/index.jsx                                                                               | JavaScript React   |         80 |          0 |          4 |         84 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/HeaderSearch/index.less                                                                              | Less               |         23 |          0 |          3 |         26 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/Modal/ConfirmModal.jsx                                                                               | JavaScript React   |         15 |          0 |          3 |         18 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/NoticeIcon/NoticeIcon.jsx                                                                            | JavaScript React   |        106 |          0 |          9 |        115 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/NoticeIcon/NoticeList.jsx                                                                            | JavaScript React   |         93 |          0 |          5 |         98 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/NoticeIcon/NoticeList.less                                                                           | Less               |         96 |          0 |          8 |        104 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/NoticeIcon/index.jsx                                                                                 | JavaScript React   |        130 |          0 |         19 |        149 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/NoticeIcon/index.less                                                                                | Less               |         30 |          0 |          6 |         36 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/RightContent/AvatarDropdown.jsx                                                                      | JavaScript React   |         68 |         17 |         12 |         97 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/RightContent/index.jsx                                                                               | JavaScript React   |         22 |         14 |          7 |         43 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/RightContent/index.less                                                                              | Less               |         79 |          0 |          6 |         85 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/TableAction/index.jsx                                                                                | JavaScript React   |         43 |          0 |          7 |         50 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/components/index.md                                                                                             | Markdown           |        242 |          0 |         31 |        273 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/e2e/baseLayout.e2e.js                                                                                           | JavaScript         |         54 |          0 |          8 |         62 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/global.jsx                                                                                                      | JavaScript React   |         81 |          5 |         12 |         98 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/global.less                                                                                                     | Less               |         51 |          6 |         10 |         67 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/locales/en-US.js                                                                                                | JavaScript         |         26 |          0 |          1 |         27 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/locales/en-US/component.js                                                                                      | JavaScript         |          5 |          0 |          1 |          6 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/locales/en-US/custom.js                                                                                         | JavaScript         |         14 |          0 |          4 |         18 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/locales/en-US/globalHeader.js                                                                                   | JavaScript         |         17 |          0 |          1 |         18 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/locales/en-US/menu.js                                                                                           | JavaScript         |         68 |          0 |         11 |         79 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/locales/en-US/pages.js                                                                                          | JavaScript         |         70 |          0 |          1 |         71 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/locales/en-US/pwa.js                                                                                            | JavaScript         |          6 |          0 |          1 |          7 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/locales/en-US/settingDrawer.js                                                                                  | JavaScript         |         31 |          0 |          1 |         32 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/locales/en-US/settings.js                                                                                       | JavaScript         |         60 |          0 |          1 |         61 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/manifest.json                                                                                                   | JSON               |         22 |          0 |          1 |         23 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/403.jsx                                                                                                   | JavaScript React   |         17 |          0 |          1 |         18 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/404.jsx                                                                                                   | JavaScript React   |         16 |          0 |          3 |         19 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/500.jsx                                                                                                   | JavaScript React   |         17 |          0 |          1 |         18 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/Admin.jsx                                                                                                 | JavaScript React   |         44 |          0 |          1 |         45 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/TableList/components/UpdateForm.jsx                                                                       | JavaScript React   |        141 |          0 |          3 |        144 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/TableList/index.jsx                                                                                       | JavaScript React   |        295 |         29 |         20 |        344 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/Welcome.jsx                                                                                               | JavaScript React   |         56 |          0 |          3 |         59 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/Welcome.less                                                                                              | Less               |          7 |          0 |          2 |          9 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/Center.less                                                                                | Less               |         74 |          0 |         13 |         87 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/_mock.js                                                                                   | JavaScript         |        222 |          2 |          8 |        232 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/components/Applications/index.jsx                                                          | JavaScript React   |        123 |          1 |          7 |        131 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/components/Applications/index.less                                                         | Less               |         48 |          1 |          3 |         52 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/components/ArticleListContent/index.jsx                                                    | JavaScript React   |         15 |          0 |          3 |         18 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/components/ArticleListContent/index.less                                                   | Less               |         36 |          0 |          3 |         39 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/components/Articles/index.jsx                                                              | JavaScript React   |         55 |          0 |          4 |         59 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/components/Articles/index.less                                                             | Less               |         11 |          0 |          2 |         13 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/components/AvatarList/index.jsx                                                            | JavaScript React   |         55 |          0 |          7 |         62 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/components/AvatarList/index.less                                                           | Less               |         44 |          0 |          7 |         51 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/components/Projects/index.jsx                                                              | JavaScript React   |         52 |          1 |          3 |         56 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/components/Projects/index.less                                                             | Less               |         50 |          0 |          5 |         55 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/index.jsx                                                                                  | JavaScript React   |        246 |          1 |         18 |        265 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/center/service.js                                                                                 | JavaScript         |          9 |          0 |          1 |         10 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/_mock.js                                                                                 | JavaScript         |         71 |          2 |          6 |         79 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/components/BaseView.less                                                                 | Less               |         59 |          0 |          7 |         66 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/components/PhoneView.jsx                                                                 | JavaScript React   |         33 |          0 |          5 |         38 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/components/base.jsx                                                                      | JavaScript React   |        225 |          0 |         14 |        239 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/components/binding.jsx                                                                   | JavaScript React   |         43 |          0 |          4 |         47 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/components/notification.jsx                                                              | JavaScript React   |         39 |          0 |          4 |         43 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/components/security.jsx                                                                  | JavaScript React   |         56 |          0 |          4 |         60 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/geographic/city.json                                                                     | JSON               |      1,784 |          0 |          1 |      1,785 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/geographic/province.json                                                                 | JSON               |        138 |          0 |          1 |        139 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/index.jsx                                                                                | JavaScript React   |         94 |          0 |         18 |        112 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/service.js                                                                               | JavaScript         |         13 |          0 |          1 |         14 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/account/settings/style.less                                                                               | Less               |         88 |          2 |          4 |         94 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/admin/users/index.jsx                                                                                     | JavaScript React   |        124 |          0 |          8 |        132 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/admin/users/service.js                                                                                    | JavaScript         |         28 |          2 |          6 |         36 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/api-docs/index.jsx                                                                                        | JavaScript React   |          8 |          0 |          4 |         12 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/_mock.js                                                                                 | JavaScript         |        195 |          1 |         15 |        211 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/components/IntroduceRow.jsx                                                              | JavaScript React   |        145 |          0 |          4 |        149 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/components/OfflineData.jsx                                                               | JavaScript React   |         74 |          0 |          5 |         79 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/components/ProportionSales.jsx                                                           | JavaScript React   |         42 |         22 |          3 |         67 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/components/SalesCard.jsx                                                                 | JavaScript React   |        181 |          0 |          4 |        185 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/components/TopSearch.jsx                                                                 | JavaScript React   |        126 |          0 |          3 |        129 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/index.jsx                                                                                | JavaScript React   |      1,028 |          0 |         20 |      1,048 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/service.js                                                                               | JavaScript         |          4 |          0 |          1 |          5 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/style.less                                                                               | Less               |        175 |          0 |         15 |        190 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/utils/Yuan.jsx                                                                           | JavaScript React   |         26 |          1 |          7 |         34 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/utils/utils.js                                                                           | JavaScript         |         39 |          0 |          8 |         47 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/dashboard/utils/utils.less                                                                         | Less               |         46 |          2 |          3 |         51 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/list/_mock.js                                                                                      | JavaScript         |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/list/components/CreateForm.jsx                                                                     | JavaScript React   |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/list/components/UpdateForm.jsx                                                                     | JavaScript React   |        141 |          0 |          3 |        144 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/list/index.jsx                                                                                     | JavaScript React   |        179 |          7 |         15 |        201 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/list/index.less                                                                                    | Less               |          3 |          0 |          1 |          4 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/list/service.js                                                                                    | JavaScript         |         28 |          2 |          6 |         36 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/pre-lits/_mock.js                                                                                  | JavaScript         |         30 |          0 |          5 |         35 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/pre-lits/components/CreateForm.jsx                                                                 | JavaScript React   |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/pre-lits/components/UpdateForm.jsx                                                                 | JavaScript React   |        141 |          0 |          3 |        144 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/pre-lits/cwes.json                                                                                 | JSON               |        904 |          0 |          0 |        904 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/pre-lits/index.jsx                                                                                 | JavaScript React   |        131 |          1 |          5 |        137 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/assets/pre-lits/service.js                                                                                | JavaScript         |         15 |          2 |          5 |         22 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/_mock.js                                                                        | JavaScript         |        195 |          1 |         15 |        211 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/components/IntroduceRow.jsx                                                     | JavaScript React   |        145 |          0 |          4 |        149 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/components/OfflineData.jsx                                                      | JavaScript React   |         74 |          0 |          5 |         79 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/components/ProportionSales.jsx                                                  | JavaScript React   |         42 |         22 |          3 |         67 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/components/SalesCard.jsx                                                        | JavaScript React   |        181 |          0 |          4 |        185 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/components/TopSearch.jsx                                                        | JavaScript React   |        126 |          0 |          3 |        129 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/index.jsx                                                                       | JavaScript React   |      1,028 |          0 |         20 |      1,048 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/service.js                                                                      | JavaScript         |          4 |          0 |          1 |          5 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/style.less                                                                      | Less               |        175 |          0 |         15 |        190 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/utils/Yuan.jsx                                                                  | JavaScript React   |         26 |          1 |          7 |         34 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/utils/utils.js                                                                  | JavaScript         |         39 |          0 |          8 |         47 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/dashboard/utils/utils.less                                                                | Less               |         46 |          2 |          3 |         51 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/list/_mock.js                                                                             | JavaScript         |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/list/components/CreateForm.jsx                                                            | JavaScript React   |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/list/components/UpdateForm.jsx                                                            | JavaScript React   |        141 |          0 |          3 |        144 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/list/index.jsx                                                                            | JavaScript React   |        181 |          2 |         14 |        197 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/list/index.less                                                                           | Less               |          3 |          0 |          1 |          4 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/countermeasures/list/service.js                                                                           | JavaScript         |         28 |          2 |          6 |         36 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/_mock.js                                                                               | JavaScript         |        195 |          1 |         15 |        211 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/components/IntroduceRow.jsx                                                            | JavaScript React   |        102 |         18 |          4 |        124 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/components/OfflineData.jsx                                                             | JavaScript React   |         98 |          7 |          6 |        111 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/components/ProportionSales.jsx                                                         | JavaScript React   |         42 |         22 |          3 |         67 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/components/SalesCard.jsx                                                               | JavaScript React   |        124 |         57 |          5 |        186 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/components/TopSearch.jsx                                                               | JavaScript React   |        126 |          0 |          3 |        129 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/index.jsx                                                                              | JavaScript React   |         98 |         28 |         19 |        145 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/sample.json                                                                            | JSON               |        909 |          0 |          0 |        909 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/service.js                                                                             | JavaScript         |          4 |          0 |          1 |          5 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/style.less                                                                             | Less               |        175 |          0 |         15 |        190 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/utils/Yuan.jsx                                                                         | JavaScript React   |         26 |          1 |          7 |         34 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/utils/utils.js                                                                         | JavaScript         |         39 |          0 |          8 |         47 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/analysis/utils/utils.less                                                                       | Less               |         46 |          2 |          3 |         51 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/_mock.js                                                                                | JavaScript         |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/components/ActiveChart/index.jsx                                                        | JavaScript React   |         83 |          0 |         11 |         94 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/components/ActiveChart/index.less                                                       | Less               |         49 |          0 |          3 |         52 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/components/Charts/Gauge/index.jsx                                                       | JavaScript React   |        161 |          0 |         11 |        172 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/components/Charts/MiniArea/index.jsx                                                    | JavaScript React   |        110 |          0 |          3 |        113 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/components/Charts/Pie/index.jsx                                                         | JavaScript React   |        241 |          4 |         27 |        272 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/components/Charts/TagCloud/index.jsx                                                    | JavaScript React   |        165 |          5 |         20 |        190 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/components/Charts/WaterWave/index.jsx                                                   | JavaScript React   |        207 |          4 |         35 |        246 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/components/Charts/autoHeight.jsx                                                        | JavaScript React   |         62 |          0 |         14 |         76 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/components/Map/index.jsx                                                                | JavaScript React   |        142 |          0 |          3 |        145 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/index.jsx                                                                               | JavaScript React   |        186 |          9 |          3 |        198 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/service.js                                                                              | JavaScript         |          4 |          0 |          1 |          5 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/monitor/style.less                                                                              | Less               |         18 |          0 |          4 |         22 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/workplace/_mock.js                                                                              | JavaScript         |        392 |          1 |         18 |        411 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/workplace/components/EditableLinkGroup/index.jsx                                                | JavaScript React   |         31 |          0 |          3 |         34 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/workplace/components/EditableLinkGroup/index.less                                               | Less               |         15 |          0 |          2 |         17 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/workplace/components/Radar/autoHeight.jsx                                                       | JavaScript React   |         62 |          0 |         14 |         76 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/workplace/components/Radar/index.jsx                                                            | JavaScript React   |        166 |          2 |         13 |        181 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/workplace/index.jsx                                                                             | JavaScript React   |        260 |          0 |         10 |        270 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/workplace/service.js                                                                            | JavaScript         |         10 |          0 |          1 |         11 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/dashboard/workplace/style.less                                                                            | Less               |        234 |          2 |         15 |        251 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cpe/_mock.js                                                                                         | JavaScript         |         30 |          0 |          5 |         35 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cpe/components/CreateForm.jsx                                                                        | JavaScript React   |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cpe/components/UpdateForm.jsx                                                                        | JavaScript React   |        141 |          0 |          3 |        144 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cpe/cwes.json                                                                                        | JSON               |        904 |          0 |          0 |        904 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cpe/index.jsx                                                                                        | JavaScript React   |         48 |          2 |          5 |         55 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cpe/service.js                                                                                       | JavaScript         |         15 |          2 |          5 |         22 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cve/$id/index.jsx                                                                                    | JavaScript React   |         73 |          0 |          6 |         79 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cve/$id/service.js                                                                                   | JavaScript         |          8 |          2 |          4 |         14 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cve/_mock.js                                                                                         | JavaScript         |         30 |          0 |          5 |         35 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cve/components/CreateForm.jsx                                                                        | JavaScript React   |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cve/components/UpdateForm.jsx                                                                        | JavaScript React   |        141 |          0 |          3 |        144 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cve/cwes.json                                                                                        | JSON               |        904 |          0 |          0 |        904 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cve/index.jsx                                                                                        | JavaScript React   |         88 |          1 |          7 |         96 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cve/service.js                                                                                       | JavaScript         |         15 |          2 |          5 |         22 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cwe/$id/index.jsx                                                                                    | JavaScript React   |         60 |          0 |          6 |         66 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cwe/$id/service.js                                                                                   | JavaScript         |          8 |          2 |          4 |         14 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cwe/_mock.js                                                                                         | JavaScript         |         30 |          0 |          5 |         35 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cwe/components/CreateForm.jsx                                                                        | JavaScript React   |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cwe/components/UpdateForm.jsx                                                                        | JavaScript React   |        141 |          0 |          3 |        144 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cwe/cwes.json                                                                                        | JSON               |        904 |          0 |          0 |        904 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cwe/index.jsx                                                                                        | JavaScript React   |         48 |         15 |          7 |         70 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/cwe/service.js                                                                                       | JavaScript         |         15 |          2 |          5 |         22 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/parameters/_mock.js                                                                                  | JavaScript         |         30 |          0 |          5 |         35 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/parameters/components/CreateForm.jsx                                                                 | JavaScript React   |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/parameters/components/UpdateForm.jsx                                                                 | JavaScript React   |        141 |          0 |          3 |        144 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/parameters/cwes.json                                                                                 | JSON               |        904 |          0 |          0 |        904 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/parameters/index.jsx                                                                                 | JavaScript React   |         47 |         15 |          8 |         70 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/data/parameters/service.js                                                                                | JavaScript         |         15 |          2 |          5 |         22 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/deployment-scenarios/$id/components/IntroduceRow.jsx                                                      | JavaScript React   |        257 |        100 |          9 |        366 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/deployment-scenarios/$id/components/Rank.jsx                                                              | JavaScript React   |         30 |          0 |          6 |         36 |
