Date : 2022-08-01 10:22:10
Directory : /home/hsnt/Documents/Docker/RiDX/core
Total : 842 files,  67334 codes, 2993 comments, 5290 blanks, all 75617 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| web/src/pages/editor/flow/components/EditorContextMenu                                                                                                        |          6 |        108 |          0 |         19 |        127 |
| web/src/pages/editor/flow/components/EditorDetailPanel                                                                                                        |          6 |        163 |          0 |         21 |        184 |
| web/src/pages/editor/flow/components/EditorItemPanel                                                                                                          |          4 |        116 |          0 |         10 |        126 |
| web/src/pages/editor/flow/components/EditorMinimap                                                                                                            |          1 |          8 |          0 |          3 |         11 |
| web/src/pages/editor/flow/components/EditorToolbar                                                                                                            |          6 |        110 |          0 |         19 |        129 |
| web/src/pages/editor/koni                                                                                                                                     |         26 |        592 |          0 |         81 |        673 |
| web/src/pages/editor/koni/common                                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| web/src/pages/editor/koni/common/IconFont                                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| web/src/pages/editor/koni/components                                                                                                                          |         23 |        505 |          0 |         70 |        575 |
| web/src/pages/editor/koni/components/EditorContextMenu                                                                                                        |          6 |        108 |          0 |         18 |        126 |
| web/src/pages/editor/koni/components/EditorDetailPanel                                                                                                        |          6 |        163 |          0 |         21 |        184 |
| web/src/pages/editor/koni/components/EditorItemPanel                                                                                                          |          4 |        116 |          0 |         10 |        126 |
| web/src/pages/editor/koni/components/EditorMinimap                                                                                                            |          1 |          8 |          0 |          3 |         11 |
| web/src/pages/editor/koni/components/EditorToolbar                                                                                                            |          6 |        110 |          0 |         18 |        128 |
| web/src/pages/editor/mind                                                                                                                                     |         27 |        718 |          0 |         83 |        801 |
| web/src/pages/editor/mind/common                                                                                                                              |          1 |          5 |          0 |          1 |          6 |
